Country,Cancer Type,Year,Total Deaths
India,Liver Cancer,2023,87154
China,Liver Cancer,2023,27277
Canada,Prostate Cancer,2021,23333
Germany,Lung Cancer,2018,28384
Brazil,Lung Cancer,2023,46150
Japan,Colon Cancer,2020,102097
India,Prostate Cancer,2020,48886
China,Liver Cancer,2019,20915
France,Prostate Cancer,2022,145310
Germany,Colon Cancer,2019,17956
India,Liver Cancer,2022,83880
Australia,Prostate Cancer,2019,53292
Brazil,Lung Cancer,2023,49641
India,Lung Cancer,2021,79246
India,Liver Cancer,2022,145874
USA,Liver Cancer,2022,8437
Brazil,Liver Cancer,2019,88634
France,Prostate Cancer,2023,127634
India,Prostate Cancer,2019,50462
UK,Prostate Cancer,2023,141954
China,Liver Cancer,2023,94012
Germany,Prostate Cancer,2019,117893
China,Lung Cancer,2020,84202
USA,Prostate Cancer,2018,133843
India,Lung Cancer,2021,93356
USA,Liver Cancer,2021,54867
Germany,Breast Cancer,2022,17320
USA,Breast Cancer,2023,16288
UK,Liver Cancer,2021,114706
Brazil,Prostate Cancer,2023,127809
Australia,Prostate Cancer,2021,15046
China,Prostate Cancer,2018,76839
Brazil,Colon Cancer,2022,15786
Canada,Lung Cancer,2021,149526
France,Lung Cancer,2022,43192
Germany,Breast Cancer,2023,41850
Canada,Colon Cancer,2021,25045
China,Liver Cancer,2023,34014
Canada,Breast Cancer,2018,49127
USA,Liver Cancer,2018,133125
Canada,Liver Cancer,2018,100107
France,Breast Cancer,2018,133774
China,Prostate Cancer,2022,122533
Germany,Prostate Cancer,2019,33513
Japan,Liver Cancer,2018,45999
Canada,Liver Cancer,2018,147286
India,Breast Cancer,2020,118101
UK,Lung Cancer,2018,117370
Japan,Liver Cancer,2018,18594
Australia,Lung Cancer,2023,60163
Canada,Colon Cancer,2022,70312
Brazil,Breast Cancer,2021,37754
China,Lung Cancer,2019,119979
Japan,Lung Cancer,2020,76852
France,Prostate Cancer,2022,41217
UK,Colon Cancer,2019,10884
Australia,Colon Cancer,2019,7134
Australia,Breast Cancer,2023,96190
Canada,Lung Cancer,2021,114001
USA,Colon Cancer,2019,98687
China,Liver Cancer,2020,110579
Australia,Prostate Cancer,2018,136039
Brazil,Breast Cancer,2019,35726
France,Prostate Cancer,2020,89137
India,Liver Cancer,2022,87842
Australia,Colon Cancer,2018,106270
Australia,Liver Cancer,2022,48067
USA,Liver Cancer,2022,31398
China,Lung Cancer,2022,67829
China,Liver Cancer,2021,106339
France,Breast Cancer,2018,109771
China,Lung Cancer,2021,115280
USA,Colon Cancer,2022,132629
France,Breast Cancer,2023,125914
Japan,Breast Cancer,2021,16379
Australia,Breast Cancer,2020,39446
Australia,Breast Cancer,2020,107646
Canada,Prostate Cancer,2020,31928
UK,Colon Cancer,2018,149231
Germany,Liver Cancer,2022,86390
France,Prostate Cancer,2020,143402
UK,Lung Cancer,2022,47116
USA,Lung Cancer,2021,130591
China,Breast Cancer,2020,86875
Japan,Lung Cancer,2019,132405
Brazil,Lung Cancer,2023,145285
France,Breast Cancer,2022,90160
Germany,Lung Cancer,2021,63996
UK,Colon Cancer,2020,60497
Japan,Colon Cancer,2020,66138
Australia,Colon Cancer,2023,18095
India,Lung Cancer,2021,61162
India,Lung Cancer,2018,103136
India,Prostate Cancer,2020,65034
Canada,Prostate Cancer,2019,11604
USA,Colon Cancer,2023,63970
France,Lung Cancer,2021,35169
Germany,Lung Cancer,2022,149116
Brazil,Breast Cancer,2023,118620
USA,Liver Cancer,2018,34805
Australia,Liver Cancer,2019,129989
India,Colon Cancer,2020,49226
Germany,Lung Cancer,2020,119967
France,Liver Cancer,2021,44884
China,Breast Cancer,2021,34350
UK,Prostate Cancer,2023,84739
Japan,Lung Cancer,2023,35188
USA,Breast Cancer,2020,56777
Japan,Lung Cancer,2023,13864
France,Breast Cancer,2018,46448
USA,Lung Cancer,2023,21348
Germany,Prostate Cancer,2018,109731
Japan,Colon Cancer,2021,67369
Japan,Prostate Cancer,2022,120568
Canada,Breast Cancer,2021,71290
Australia,Prostate Cancer,2018,63486
Brazil,Prostate Cancer,2022,90809
Australia,Liver Cancer,2020,141408
Canada,Colon Cancer,2021,113489
USA,Liver Cancer,2019,18640
France,Liver Cancer,2020,20222
USA,Lung Cancer,2020,113036
UK,Breast Cancer,2020,79949
Japan,Colon Cancer,2022,124351
Australia,Prostate Cancer,2021,92437
Canada,Prostate Cancer,2022,79016
Japan,Lung Cancer,2019,129818
Germany,Lung Cancer,2020,107396
USA,Lung Cancer,2018,103531
France,Prostate Cancer,2022,73450
Brazil,Prostate Cancer,2022,63141
France,Prostate Cancer,2018,101892
Australia,Liver Cancer,2021,7479
Canada,Lung Cancer,2021,112326
India,Prostate Cancer,2021,99746
Japan,Colon Cancer,2018,34450
India,Prostate Cancer,2023,115911
UK,Colon Cancer,2023,40980
India,Prostate Cancer,2020,69678
UK,Lung Cancer,2021,93474
Japan,Liver Cancer,2023,148618
USA,Colon Cancer,2021,129007
Australia,Liver Cancer,2019,99860
USA,Breast Cancer,2023,13578
Australia,Lung Cancer,2019,77462
Germany,Prostate Cancer,2018,29668
Germany,Lung Cancer,2018,128554
India,Breast Cancer,2021,48983
Canada,Prostate Cancer,2023,88472
Canada,Lung Cancer,2018,124314
Australia,Colon Cancer,2020,91866
USA,Lung Cancer,2021,96260
Canada,Prostate Cancer,2019,139409
Germany,Breast Cancer,2018,131779
India,Prostate Cancer,2019,94791
India,Breast Cancer,2021,47500
Japan,Colon Cancer,2023,79186
Brazil,Liver Cancer,2018,104007
Australia,Liver Cancer,2022,37175
India,Lung Cancer,2020,17324
France,Colon Cancer,2019,65313
Australia,Lung Cancer,2018,67729
Japan,Prostate Cancer,2022,59503
France,Breast Cancer,2022,64715
USA,Lung Cancer,2020,100112
China,Colon Cancer,2018,129231
Australia,Prostate Cancer,2023,107636
Japan,Prostate Cancer,2019,93463
Japan,Prostate Cancer,2022,106944
Canada,Colon Cancer,2023,65225
France,Liver Cancer,2023,123695
Australia,Lung Cancer,2020,42767
Japan,Colon Cancer,2018,7368
Australia,Prostate Cancer,2022,133922
France,Liver Cancer,2018,103038
USA,Prostate Cancer,2022,40105
India,Colon Cancer,2023,115746
China,Lung Cancer,2023,86511
Brazil,Colon Cancer,2019,71904
USA,Prostate Cancer,2018,22948
Australia,Breast Cancer,2023,42361
UK,Prostate Cancer,2019,128154
UK,Breast Cancer,2018,7818
India,Prostate Cancer,2019,37356
France,Prostate Cancer,2022,137605
India,Colon Cancer,2018,44684
Australia,Breast Cancer,2023,138391
Brazil,Breast Cancer,2020,149380
Japan,Colon Cancer,2020,93602
China,Breast Cancer,2021,129669
Germany,Lung Cancer,2018,95506
UK,Breast Cancer,2020,126012
India,Breast Cancer,2022,108755
Australia,Lung Cancer,2023,31425
USA,Prostate Cancer,2023,77394
UK,Prostate Cancer,2022,40546
France,Prostate Cancer,2023,139060
China,Prostate Cancer,2023,95678
Brazil,Prostate Cancer,2022,141868
USA,Prostate Cancer,2021,94622
USA,Prostate Cancer,2021,26883
France,Liver Cancer,2022,139332
UK,Lung Cancer,2019,29862
Japan,Breast Cancer,2020,49713
China,Liver Cancer,2021,79116
France,Prostate Cancer,2018,55865
China,Lung Cancer,2021,32778
Japan,Liver Cancer,2018,67931
USA,Lung Cancer,2021,13113
India,Colon Cancer,2021,126825
Brazil,Colon Cancer,2022,128782
Australia,Liver Cancer,2020,56958
Brazil,Liver Cancer,2019,43949
India,Lung Cancer,2018,80531
Brazil,Lung Cancer,2019,149576
USA,Breast Cancer,2018,16103
India,Prostate Cancer,2023,47243
Germany,Prostate Cancer,2020,42446
China,Breast Cancer,2021,60146
USA,Colon Cancer,2022,43515
Germany,Lung Cancer,2022,59325
Germany,Breast Cancer,2022,10694
UK,Liver Cancer,2022,91204
France,Lung Cancer,2022,59367
France,Lung Cancer,2022,78523
UK,Liver Cancer,2021,57556
China,Prostate Cancer,2023,103300
India,Breast Cancer,2019,125314
USA,Liver Cancer,2020,21735
USA,Prostate Cancer,2020,13747
China,Lung Cancer,2019,38977
Brazil,Prostate Cancer,2021,80394
Germany,Liver Cancer,2020,60024
UK,Colon Cancer,2018,57940
France,Liver Cancer,2018,123322
Canada,Colon Cancer,2020,37773
Japan,Liver Cancer,2021,99017
UK,Lung Cancer,2019,105512
USA,Breast Cancer,2023,125597
UK,Prostate Cancer,2019,73047
Brazil,Prostate Cancer,2023,49956
France,Liver Cancer,2020,21160
UK,Colon Cancer,2018,68904
Canada,Breast Cancer,2019,116339
India,Prostate Cancer,2020,120440
Germany,Lung Cancer,2020,66970
UK,Liver Cancer,2020,14653
France,Prostate Cancer,2018,120134
Canada,Breast Cancer,2022,41042
Japan,Lung Cancer,2023,41784
Japan,Prostate Cancer,2020,106731
Canada,Lung Cancer,2020,90693
UK,Colon Cancer,2022,58555
Brazil,Breast Cancer,2020,84910
France,Lung Cancer,2019,58258
Brazil,Breast Cancer,2020,106447
Germany,Lung Cancer,2023,102641
Canada,Liver Cancer,2021,116733
UK,Prostate Cancer,2023,47243
Brazil,Breast Cancer,2019,109334
USA,Liver Cancer,2023,59493
Japan,Liver Cancer,2023,142269
Brazil,Breast Cancer,2021,62432
Germany,Colon Cancer,2021,73100
Australia,Colon Cancer,2018,90024
Germany,Lung Cancer,2019,78364
Australia,Breast Cancer,2021,54477
China,Liver Cancer,2020,83366
Japan,Liver Cancer,2019,72766
India,Lung Cancer,2020,51767
France,Breast Cancer,2021,59133
India,Prostate Cancer,2019,83703
USA,Prostate Cancer,2019,22293
France,Lung Cancer,2020,60876
USA,Lung Cancer,2023,124929
Australia,Colon Cancer,2019,58870
Australia,Lung Cancer,2018,11373
Japan,Breast Cancer,2018,122836
France,Liver Cancer,2021,116476
UK,Liver Cancer,2019,68056
India,Prostate Cancer,2021,145987
China,Breast Cancer,2020,148765
Germany,Lung Cancer,2023,127793
USA,Breast Cancer,2019,29428
France,Liver Cancer,2018,124832
Brazil,Prostate Cancer,2018,139272
USA,Lung Cancer,2020,131920
USA,Lung Cancer,2020,41982
Germany,Lung Cancer,2021,66273
USA,Breast Cancer,2018,34841
Japan,Breast Cancer,2020,141225
China,Liver Cancer,2022,70769
UK,Liver Cancer,2022,113695
USA,Prostate Cancer,2023,48337
Germany,Breast Cancer,2018,140096
France,Breast Cancer,2022,22709
USA,Lung Cancer,2020,105245
Germany,Breast Cancer,2023,73418
UK,Prostate Cancer,2019,29519
USA,Breast Cancer,2020,19826
Germany,Breast Cancer,2019,125296
China,Lung Cancer,2022,64309
Japan,Breast Cancer,2023,43383
USA,Colon Cancer,2018,67930
Brazil,Colon Cancer,2018,112494
Canada,Prostate Cancer,2018,51640
USA,Liver Cancer,2019,145929
USA,Lung Cancer,2023,62139
UK,Lung Cancer,2019,8284
UK,Breast Cancer,2019,62792
USA,Breast Cancer,2021,75744
Germany,Liver Cancer,2021,143225
Australia,Liver Cancer,2022,22367
France,Breast Cancer,2018,61483
Japan,Prostate Cancer,2023,112143
Japan,Breast Cancer,2019,65987
Canada,Liver Cancer,2023,59519
China,Breast Cancer,2021,62790
Canada,Liver Cancer,2020,15776
Australia,Lung Cancer,2023,106910
USA,Liver Cancer,2019,143882
Brazil,Liver Cancer,2019,28227
France,Lung Cancer,2018,11052
Australia,Liver Cancer,2018,51144
Australia,Liver Cancer,2020,108723
Germany,Prostate Cancer,2019,133940
Germany,Lung Cancer,2018,24779
France,Colon Cancer,2018,58169
Australia,Lung Cancer,2018,105786
UK,Breast Cancer,2020,144098
Japan,Colon Cancer,2022,98227
Japan,Lung Cancer,2019,48652
Brazil,Prostate Cancer,2022,39919
Japan,Breast Cancer,2022,25959
Canada,Colon Cancer,2018,74269
Japan,Liver Cancer,2023,106976
USA,Lung Cancer,2021,119411
Canada,Liver Cancer,2018,84108
India,Lung Cancer,2018,116245
Japan,Prostate Cancer,2023,96334
China,Colon Cancer,2022,44623
India,Liver Cancer,2023,143759
USA,Prostate Cancer,2023,60091
France,Liver Cancer,2022,147287
Japan,Prostate Cancer,2019,132309
USA,Prostate Cancer,2023,24934
India,Prostate Cancer,2023,47615
Brazil,Lung Cancer,2023,55848
China,Colon Cancer,2018,49671
France,Lung Cancer,2020,147745
USA,Lung Cancer,2022,27410
France,Lung Cancer,2019,11606
Brazil,Prostate Cancer,2023,74127
France,Prostate Cancer,2021,102917
Germany,Prostate Cancer,2021,88524
Japan,Lung Cancer,2020,23675
Germany,Prostate Cancer,2021,63939
Germany,Colon Cancer,2019,7577
USA,Colon Cancer,2022,116527
Japan,Colon Cancer,2019,30589
Germany,Prostate Cancer,2023,98213
Japan,Breast Cancer,2018,14325
UK,Colon Cancer,2022,61815
India,Breast Cancer,2021,87547
China,Liver Cancer,2018,80740
France,Prostate Cancer,2022,63094
Canada,Prostate Cancer,2020,98443
Germany,Breast Cancer,2021,130295
Germany,Liver Cancer,2020,105736
Brazil,Breast Cancer,2020,62549
France,Breast Cancer,2020,11219
UK,Liver Cancer,2022,29645
UK,Colon Cancer,2020,16086
UK,Prostate Cancer,2022,28548
Australia,Prostate Cancer,2019,111614
Brazil,Breast Cancer,2018,20556
Germany,Lung Cancer,2018,53063
Japan,Breast Cancer,2023,57830
Japan,Breast Cancer,2018,48043
India,Prostate Cancer,2022,111244
Brazil,Lung Cancer,2019,51657
Australia,Lung Cancer,2022,62516
Germany,Breast Cancer,2021,129187
Japan,Liver Cancer,2020,25244
USA,Prostate Cancer,2023,63353
India,Lung Cancer,2018,55945
India,Lung Cancer,2019,113457
Japan,Breast Cancer,2018,113279
Germany,Breast Cancer,2022,111486
China,Breast Cancer,2019,129279
Brazil,Colon Cancer,2018,144458
USA,Lung Cancer,2019,24804
India,Liver Cancer,2023,9198
UK,Breast Cancer,2018,145638
China,Colon Cancer,2018,23468
France,Breast Cancer,2022,25741
China,Lung Cancer,2023,109235
France,Colon Cancer,2019,56374
France,Breast Cancer,2018,35539
Canada,Colon Cancer,2023,105803
France,Breast Cancer,2022,105116
USA,Prostate Cancer,2022,117801
India,Lung Cancer,2018,73498
Canada,Liver Cancer,2018,35556
USA,Liver Cancer,2021,21087
UK,Liver Cancer,2021,74400
Brazil,Prostate Cancer,2023,137861
China,Colon Cancer,2018,73937
France,Lung Cancer,2018,137326
Australia,Colon Cancer,2019,47524
Canada,Liver Cancer,2018,54421
USA,Liver Cancer,2019,84044
Brazil,Liver Cancer,2023,9517
India,Liver Cancer,2018,95463
Japan,Lung Cancer,2019,43299
UK,Liver Cancer,2020,83344
India,Lung Cancer,2022,107155
UK,Lung Cancer,2022,85846
China,Colon Cancer,2023,133463
France,Lung Cancer,2022,7984
Canada,Lung Cancer,2020,139131
UK,Colon Cancer,2022,33486
France,Liver Cancer,2023,76044
France,Lung Cancer,2021,75237
USA,Prostate Cancer,2019,107210
China,Lung Cancer,2020,27320
Germany,Lung Cancer,2022,107795
Germany,Breast Cancer,2021,109852
UK,Colon Cancer,2021,105968
China,Liver Cancer,2022,86487
Canada,Lung Cancer,2023,23028
USA,Lung Cancer,2021,139013
Canada,Breast Cancer,2023,137281
UK,Liver Cancer,2019,149970
Canada,Liver Cancer,2023,63525
Brazil,Prostate Cancer,2022,93718
USA,Prostate Cancer,2023,81440
Canada,Colon Cancer,2023,62670
Brazil,Breast Cancer,2022,94505
USA,Liver Cancer,2019,67547
Japan,Lung Cancer,2022,107617
Japan,Colon Cancer,2021,97085
UK,Prostate Cancer,2020,9724
Brazil,Liver Cancer,2021,78378
UK,Colon Cancer,2019,95942
Japan,Lung Cancer,2020,126848
India,Liver Cancer,2019,88606
UK,Liver Cancer,2019,5007
Canada,Lung Cancer,2019,48251
Germany,Prostate Cancer,2023,41581
USA,Liver Cancer,2018,66913
Germany,Liver Cancer,2020,48564
Germany,Prostate Cancer,2023,19475
USA,Prostate Cancer,2023,65377
Germany,Liver Cancer,2023,56230
Japan,Prostate Cancer,2020,134138
Japan,Prostate Cancer,2020,44978
Japan,Breast Cancer,2018,107990
Australia,Prostate Cancer,2022,55293
UK,Prostate Cancer,2018,124153
Brazil,Prostate Cancer,2023,146063
Australia,Colon Cancer,2021,14481
India,Prostate Cancer,2019,103901
Brazil,Lung Cancer,2019,13568
Australia,Prostate Cancer,2022,71720
India,Colon Cancer,2018,113176
Canada,Prostate Cancer,2021,87426
China,Liver Cancer,2023,74728
Japan,Prostate Cancer,2021,142241
France,Prostate Cancer,2020,113901
Australia,Lung Cancer,2020,112166
India,Lung Cancer,2020,118038
Canada,Breast Cancer,2019,146511
India,Prostate Cancer,2018,19504
Japan,Breast Cancer,2022,46268
USA,Prostate Cancer,2020,74086
Germany,Prostate Cancer,2022,76279
UK,Breast Cancer,2020,86946
Canada,Lung Cancer,2022,56590
UK,Colon Cancer,2023,95657
UK,Liver Cancer,2019,27200
Brazil,Colon Cancer,2020,65211
Canada,Lung Cancer,2023,74926
Australia,Liver Cancer,2022,71911
France,Breast Cancer,2020,116662
Australia,Colon Cancer,2023,145059
Japan,Colon Cancer,2021,125931
Brazil,Liver Cancer,2019,50068
Australia,Liver Cancer,2022,37401
Brazil,Colon Cancer,2019,98981
India,Colon Cancer,2022,56456
USA,Liver Cancer,2023,15602
UK,Lung Cancer,2022,68895
Australia,Lung Cancer,2021,77817
Australia,Breast Cancer,2020,59610
India,Prostate Cancer,2018,60911
Japan,Lung Cancer,2023,13030
Germany,Colon Cancer,2021,25848
USA,Prostate Cancer,2023,115237
India,Lung Cancer,2019,23978
Brazil,Colon Cancer,2022,104881
Brazil,Lung Cancer,2021,56083
USA,Lung Cancer,2019,101560
France,Colon Cancer,2022,128310
France,Lung Cancer,2022,94978
Germany,Lung Cancer,2021,31421
China,Breast Cancer,2020,10141
UK,Breast Cancer,2020,144067
Germany,Liver Cancer,2023,71464
India,Liver Cancer,2019,37377
UK,Colon Cancer,2022,31674
USA,Breast Cancer,2023,149982
UK,Colon Cancer,2019,144396
UK,Breast Cancer,2021,115234
Germany,Lung Cancer,2023,140458
India,Lung Cancer,2018,14388
India,Liver Cancer,2021,35380
France,Lung Cancer,2022,141418
Japan,Colon Cancer,2020,35246
Australia,Breast Cancer,2022,16129
China,Colon Cancer,2022,49270
Australia,Prostate Cancer,2022,125661
Australia,Liver Cancer,2022,145790
China,Colon Cancer,2021,104039
India,Colon Cancer,2021,36600
China,Breast Cancer,2022,34893
UK,Breast Cancer,2020,18082
Japan,Liver Cancer,2018,26105
Australia,Breast Cancer,2019,15813
Brazil,Prostate Cancer,2023,55736
Brazil,Prostate Cancer,2019,7067
USA,Colon Cancer,2018,86118
UK,Prostate Cancer,2021,93919
Japan,Liver Cancer,2020,118515
China,Breast Cancer,2021,128280
Canada,Breast Cancer,2022,145450
UK,Lung Cancer,2022,99528
Japan,Lung Cancer,2021,18678
Australia,Prostate Cancer,2020,59728
Japan,Breast Cancer,2021,95402
Brazil,Prostate Cancer,2020,35681
UK,Prostate Cancer,2023,10816
USA,Prostate Cancer,2021,78419
UK,Lung Cancer,2022,49398
Canada,Prostate Cancer,2019,5432
USA,Colon Cancer,2018,110211
Germany,Breast Cancer,2023,68401
France,Lung Cancer,2019,111827
France,Breast Cancer,2018,139678
Australia,Lung Cancer,2020,34772
Canada,Breast Cancer,2018,95219
UK,Prostate Cancer,2019,71488
USA,Breast Cancer,2018,117332
Australia,Breast Cancer,2018,18380
Australia,Liver Cancer,2018,103976
Germany,Breast Cancer,2020,20844
France,Lung Cancer,2020,53159
China,Prostate Cancer,2020,52024
India,Prostate Cancer,2020,59555
USA,Breast Cancer,2023,49995
China,Colon Cancer,2018,132988
Brazil,Colon Cancer,2022,132802
France,Lung Cancer,2020,29415
India,Breast Cancer,2023,120019
Australia,Prostate Cancer,2021,116696
Brazil,Colon Cancer,2018,28973
Canada,Liver Cancer,2023,114356
Australia,Colon Cancer,2023,8073
Germany,Breast Cancer,2020,26769
Germany,Prostate Cancer,2018,12686
China,Lung Cancer,2019,107412
India,Breast Cancer,2018,127383
India,Lung Cancer,2020,93633
UK,Lung Cancer,2021,13153
Brazil,Liver Cancer,2020,18886
France,Prostate Cancer,2020,99460
Brazil,Prostate Cancer,2022,38584
Australia,Prostate Cancer,2020,69770
France,Liver Cancer,2018,37910
Japan,Prostate Cancer,2023,89378
France,Lung Cancer,2020,97792
China,Colon Cancer,2022,104692
Canada,Liver Cancer,2023,53296
USA,Colon Cancer,2018,77513
Brazil,Lung Cancer,2021,78802
UK,Prostate Cancer,2021,34691
France,Lung Cancer,2021,65858
Germany,Lung Cancer,2021,29001
UK,Prostate Cancer,2020,95998
Brazil,Colon Cancer,2018,82817
India,Lung Cancer,2020,112190
UK,Colon Cancer,2018,32289
China,Prostate Cancer,2020,89655
China,Prostate Cancer,2021,12107
France,Colon Cancer,2023,38267
USA,Lung Cancer,2020,145558
Japan,Prostate Cancer,2020,111432
Japan,Breast Cancer,2020,84258
Japan,Breast Cancer,2023,45304
Australia,Colon Cancer,2018,129688
India,Lung Cancer,2019,43244
China,Lung Cancer,2021,62140
India,Liver Cancer,2019,32083
Brazil,Prostate Cancer,2021,26646
UK,Lung Cancer,2018,46704
Australia,Liver Cancer,2021,10739
Australia,Breast Cancer,2022,122949
USA,Colon Cancer,2018,115338
France,Colon Cancer,2020,129654
Japan,Prostate Cancer,2019,113047
France,Prostate Cancer,2022,121287
India,Liver Cancer,2019,47732
India,Liver Cancer,2022,74380
India,Lung Cancer,2020,58827
UK,Colon Cancer,2018,123568
USA,Lung Cancer,2022,58422
Japan,Prostate Cancer,2022,6533
Australia,Liver Cancer,2021,139289
India,Colon Cancer,2018,11664
France,Prostate Cancer,2023,121183
UK,Prostate Cancer,2021,16841
Germany,Lung Cancer,2023,66368
Australia,Prostate Cancer,2022,111992
China,Prostate Cancer,2019,132867
UK,Lung Cancer,2019,137937
France,Breast Cancer,2023,23769
USA,Lung Cancer,2019,132627
USA,Lung Cancer,2019,27450
Germany,Liver Cancer,2022,60390
Australia,Lung Cancer,2019,123882
USA,Breast Cancer,2019,108424
France,Prostate Cancer,2018,93764
Brazil,Breast Cancer,2020,72092
Canada,Breast Cancer,2018,141767
Brazil,Breast Cancer,2020,24501
Germany,Breast Cancer,2018,89553
France,Prostate Cancer,2019,94164
Canada,Lung Cancer,2021,44614
Brazil,Breast Cancer,2020,128942
India,Colon Cancer,2020,8554
UK,Colon Cancer,2023,61136
Brazil,Lung Cancer,2023,104294
France,Colon Cancer,2019,64614
Canada,Colon Cancer,2023,82125
Germany,Breast Cancer,2021,115219
Australia,Lung Cancer,2020,5353
India,Liver Cancer,2018,82316
USA,Prostate Cancer,2022,18167
Brazil,Lung Cancer,2018,68520
Canada,Lung Cancer,2019,89101
Brazil,Colon Cancer,2021,105074
Brazil,Liver Cancer,2023,89485
USA,Prostate Cancer,2019,61509
China,Colon Cancer,2020,146488
France,Liver Cancer,2022,70998
India,Prostate Cancer,2023,14442
Brazil,Colon Cancer,2018,103655
India,Prostate Cancer,2022,50075
Germany,Colon Cancer,2023,104386
China,Breast Cancer,2021,7507
France,Prostate Cancer,2023,142672
Japan,Liver Cancer,2020,33765
Australia,Breast Cancer,2022,96017
USA,Prostate Cancer,2022,109543
Germany,Lung Cancer,2020,8399
Canada,Colon Cancer,2018,28500
Canada,Breast Cancer,2019,116378
China,Colon Cancer,2020,89181
France,Prostate Cancer,2021,65087
China,Lung Cancer,2020,15574
Japan,Lung Cancer,2021,96767
Canada,Lung Cancer,2022,43792
Japan,Liver Cancer,2018,109591
China,Lung Cancer,2023,132837
USA,Breast Cancer,2020,69954
Germany,Colon Cancer,2018,140996
USA,Prostate Cancer,2021,18086
France,Lung Cancer,2022,118743
Brazil,Lung Cancer,2022,109095
Germany,Prostate Cancer,2020,64780
UK,Lung Cancer,2021,62543
UK,Liver Cancer,2021,91718
France,Breast Cancer,2020,124255
Japan,Liver Cancer,2023,22395
Australia,Breast Cancer,2022,88997
Brazil,Lung Cancer,2019,57180
France,Lung Cancer,2022,120030
China,Lung Cancer,2023,75347
China,Prostate Cancer,2018,38215
Brazil,Lung Cancer,2018,124328
Japan,Prostate Cancer,2019,139549
France,Prostate Cancer,2021,61531
UK,Breast Cancer,2023,70708
Brazil,Lung Cancer,2021,63121
UK,Breast Cancer,2023,147842
Canada,Lung Cancer,2019,74267
France,Breast Cancer,2019,140775
India,Breast Cancer,2023,11337
Japan,Colon Cancer,2020,117325
Japan,Breast Cancer,2020,82314
Canada,Lung Cancer,2022,139989
France,Prostate Cancer,2021,137901
France,Breast Cancer,2019,143976
Germany,Lung Cancer,2023,91378
China,Prostate Cancer,2020,64350
Japan,Lung Cancer,2020,60550
France,Liver Cancer,2023,113163
Canada,Liver Cancer,2023,54217
India,Prostate Cancer,2023,56427
Japan,Lung Cancer,2019,87287
Brazil,Prostate Cancer,2023,84758
Canada,Breast Cancer,2021,146068
Canada,Lung Cancer,2020,76406
Canada,Prostate Cancer,2018,84993
India,Liver Cancer,2022,29493
Germany,Breast Cancer,2022,112639
USA,Liver Cancer,2021,65361
India,Liver Cancer,2018,86608
China,Colon Cancer,2023,13983
USA,Liver Cancer,2022,85891
UK,Prostate Cancer,2019,14923
India,Colon Cancer,2023,8330
Brazil,Lung Cancer,2018,78929
Australia,Breast Cancer,2018,125102
Brazil,Colon Cancer,2018,31048
Canada,Lung Cancer,2022,132048
India,Lung Cancer,2022,143938
Australia,Breast Cancer,2020,67914
Brazil,Colon Cancer,2021,94274
Germany,Colon Cancer,2019,89603
India,Breast Cancer,2021,106781
Australia,Prostate Cancer,2022,64267
Australia,Liver Cancer,2018,15594
UK,Lung Cancer,2023,92818
UK,Breast Cancer,2021,76787
Australia,Lung Cancer,2022,96885
USA,Lung Cancer,2023,126208
USA,Liver Cancer,2021,7334
China,Breast Cancer,2018,97281
India,Breast Cancer,2019,24038
Australia,Liver Cancer,2022,18800
France,Colon Cancer,2023,146753
USA,Liver Cancer,2019,119537
UK,Lung Cancer,2021,111376
India,Lung Cancer,2022,8473
India,Breast Cancer,2023,17384
Germany,Lung Cancer,2023,112297
Canada,Liver Cancer,2020,85674
Germany,Colon Cancer,2019,104382
Brazil,Breast Cancer,2023,128124
UK,Colon Cancer,2018,72552
France,Colon Cancer,2020,45859
China,Breast Cancer,2020,103304
Brazil,Breast Cancer,2021,53714
UK,Colon Cancer,2018,7085
Japan,Lung Cancer,2023,48642
India,Breast Cancer,2019,143981
Brazil,Breast Cancer,2022,40180
Japan,Colon Cancer,2021,115408
Canada,Breast Cancer,2019,69017
Japan,Liver Cancer,2023,117291
Canada,Breast Cancer,2023,125929
Australia,Colon Cancer,2018,9365
Germany,Liver Cancer,2023,55808
Germany,Liver Cancer,2019,119692
Germany,Colon Cancer,2022,86293
China,Liver Cancer,2018,19459
France,Liver Cancer,2021,143055
France,Prostate Cancer,2018,50758
Japan,Liver Cancer,2021,104726
Germany,Colon Cancer,2018,18110
Germany,Prostate Cancer,2021,81434
USA,Prostate Cancer,2021,48614
France,Lung Cancer,2022,48423
Japan,Prostate Cancer,2022,149021
France,Breast Cancer,2019,84957
Australia,Colon Cancer,2019,50767
Japan,Lung Cancer,2021,103749
Germany,Lung Cancer,2021,58146
France,Prostate Cancer,2020,77391
Brazil,Prostate Cancer,2020,8369
UK,Liver Cancer,2020,100751
Brazil,Liver Cancer,2020,36888
France,Lung Cancer,2020,135610
France,Breast Cancer,2021,69620
Japan,Breast Cancer,2020,134331
USA,Lung Cancer,2020,93092
France,Colon Cancer,2020,71472
Germany,Prostate Cancer,2022,111172
France,Lung Cancer,2020,32039
Germany,Breast Cancer,2023,89478
Japan,Lung Cancer,2021,38344
USA,Lung Cancer,2021,51193
China,Breast Cancer,2022,137546
China,Colon Cancer,2021,23997
Canada,Breast Cancer,2019,42766
Australia,Breast Cancer,2018,13908
Germany,Colon Cancer,2018,90122
UK,Lung Cancer,2018,54143
